"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\Airis\Desktop\Front\src\HOCs\withLoading.js", "JavaScript", 1, 0, 0, 0, 1
"c:\Users\Airis\Desktop\Front\src\components\CinemaForm.js", "JavaScript", 11, 0, 0, 3, 14
"c:\Users\Airis\Desktop\Front\src\components\CinemasList.js", "JavaScript", 1, 0, 0, 1, 2
"c:\Users\Airis\Desktop\Front\src\components\DeleteButton.js", "JavaScript", 2, 0, 0, 0, 2
"c:\Users\Airis\Desktop\Front\src\components\MovieDeleteButton.js", "JavaScript", 2, 0, 0, 0, 2
"c:\Users\Airis\Desktop\Front\src\components\MovieForm.js", "JavaScript", 16, 0, 0, 1, 17
"c:\Users\Airis\Desktop\Front\src\components\MovieList.js", "JavaScript", 9, 0, 0, 10, 19
"c:\Users\Airis\Desktop\Front\src\components\MovieList.module.css", "CSS", 0, -2, 2, 0, 0
"c:\Users\Airis\Desktop\Front\src\components\ReviewForm.js", "JavaScript", 0, 0, 0, 1, 1
"c:\Users\Airis\Desktop\Front\src\components\ScreeningForm.js", "JavaScript", 16, 0, 0, 3, 19
"c:\Users\Airis\Desktop\Front\src\components\ScreeningList.js", "JavaScript", -2, 0, 0, -1, -3
"c:\Users\Airis\Desktop\Front\src\components\header.js", "JavaScript", 9, 0, 3, 3, 15
"c:\Users\Airis\Desktop\Front\src\css\styles.module.css", "CSS", 0, 7, 0, 0, 7
"c:\Users\Airis\Desktop\Front\src\pages\Home.js", "JavaScript", 13, 0, 0, 3, 16
"c:\Users\Airis\Desktop\Front\src\pages\Movies.js", "JavaScript", 11, 0, 1, 4, 16
"c:\Users\Airis\Desktop\Front\src\pages\Screening.js", "JavaScript", 9, 0, 0, 3, 12
"c:\Users\Airis\Desktop\Front\src\services\Delete.js", "JavaScript", 14, 0, 0, 2, 16
"Total", "-", 112, 5, 6, 33, 156
